09.00 m: { TP: 26/33, FP:   5/33, TN:  0/33, FN:   2/33, Error Dist:   87.81702, Precision:  0.839, Recall:  0.929 }
09.20 m: { TP: 26/33, FP:   5/33, TN:  0/33, FN:   2/33, Error Dist:  100.79186, Precision:  0.839, Recall:  0.929 }
09.40 m: { TP: 25/33, FP:   6/33, TN:  0/33, FN:   2/33, Error Dist:  115.03259, Precision:  0.806, Recall:  0.926 }
09.60 m: { TP: 25/33, FP:   6/33, TN:  0/33, FN:   2/33, Error Dist:  130.55694, Precision:  0.806, Recall:  0.926 }
09.80 m: { TP: 25/33, FP:   5/33, TN:  0/33, FN:   3/33, Error Dist:  143.13877, Precision:  0.833, Recall:  0.893 }
10.00 m: { TP: 23/33, FP:   7/33, TN:  0/33, FN:   3/33, Error Dist:  160.62849, Precision:  0.767, Recall:  0.885 }
10.20 m: { TP: 23/33, FP:   7/33, TN:  0/33, FN:   3/33, Error Dist:  179.48034, Precision:  0.767, Recall:  0.885 }
10.40 m: { TP: 23/33, FP:   7/33, TN:  0/33, FN:   3/33, Error Dist:  199.74506, Precision:  0.767, Recall:  0.885 }
10.60 m: { TP: 20/33, FP:   9/33, TN:  0/33, FN:   4/33, Error Dist:  217.70416, Precision:  0.690, Recall:  0.833 }
10.80 m: { TP: 18/33, FP:  10/33, TN:  0/33, FN:   5/33, Error Dist:  240.25053, Precision:  0.643, Recall:  0.783 }
11.00 m: { TP: 18/33, FP:  10/33, TN:  0/33, FN:   5/33, Error Dist:  264.47793, Precision:  0.643, Recall:  0.783 }
11.20 m: { TP: 17/33, FP:  11/33, TN:  0/33, FN:   5/33, Error Dist:  290.32832, Precision:  0.607, Recall:  0.773 }
11.40 m: { TP: 14/33, FP:  14/33, TN:  0/33, FN:   5/33, Error Dist:  317.84106, Precision:  0.500, Recall:  0.737 }
11.60 m: { TP: 14/33, FP:  14/33, TN:  0/33, FN:   5/33, Error Dist:  347.03327, Precision:  0.500, Recall:  0.737 }
11.80 m: { TP: 11/33, FP:  15/33, TN:  0/33, FN:   7/33, Error Dist:  377.45596, Precision:  0.423, Recall:  0.611 }
12.00 m: { TP:  8/33, FP:  15/33, TN:  0/33, FN:  10/33, Error Dist:  409.52272, Precision:  0.348, Recall:  0.444 }
12.20 m: { TP:  8/33, FP:  12/33, TN:  0/33, FN:  13/33, Error Dist:   35.28310, Precision:  0.400, Recall:  0.381 }
12.40 m: { TP:  6/33, FP:  10/33, TN:  0/33, FN:  17/33, Error Dist:   36.73097, Precision:  0.375, Recall:  0.261 }
12.60 m: { TP:  3/33, FP:  11/33, TN:  0/33, FN:  19/33, Error Dist:   39.75028, Precision:  0.214, Recall:  0.136 }
12.80 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   42.57252, Precision:  0.091, Recall:  0.043 }
13.00 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   46.50148, Precision:  0.091, Recall:  0.043 }
13.20 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   50.66366, Precision:  0.091, Recall:  0.043 }
13.40 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   55.06570, Precision:  0.091, Recall:  0.043 }
13.60 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   59.71428, Precision:  0.091, Recall:  0.043 }
13.80 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   64.61605, Precision:  0.091, Recall:  0.043 }
14.00 m: { TP:  1/33, FP:  10/33, TN:  0/33, FN:  22/33, Error Dist:   69.77768, Precision:  0.091, Recall:  0.043 }
